Airline;Moy. Average.Age;Current;Future;Moy. Total.Cost..Current.
Jetstar Airways;5,05;77;0;1 531,00
Jetstar Pacific Airlines;2,33;13;1;424,67
Jin Air;10,95;22;0;1 255,00
Juneyao Airlines;2,20;59;2;2 028,67
Kenya Airways;1,35;34;0;312,45
KLM;3,78;116;5;1 773,92
KLM Cityhopper;5,36;47;0;360,20
Korean Air;2,81;166;9;2 173,33
Kunming Airlines (80%);4,70;18;0;1 332,00
LATAM Airlines Argentina;12,45;17;0;966,50
LATAM Airlines Brazil;5,82;157;3;3 368,67
LATAM Airlines Chile;5,46;131;1;3 683,80
LATAM Airlines Ecuador;3,50;9;0;549,50
LATAM Airlines Peru;3,73;25;0;961,33
LATAM Cargo Brazil;12,60;3;0;561,00
LATAM Cargo Chile;9,95;5;0;575,00
Lion Air;4,81;113;4;1 334,57
LOT Polish Airlines;3,87;43;1;281,82
Lucky Air (86.68%);6,77;36;3;959,33
Lufthansa;4,60;267;7;2 892,81
Lufthansa Cargo;3,38;17;0;595,50
Lufthansa CityLine;1,67;55;0;375,89
Malaysia Airlines;2,46;82;1;1 169,10
Malindo Air;1,37;41;1;734,67
Mandarin Airlines (93.99%);1,26;7;0;43,88
Mango;16,20;10;0;740,00
Martinair;2,42;1;0;28,73
MASwings;3,15;13;0;143,50
Mesa Airlines;6,80;133;0;807,71
Monarch Airlines;2,68;34;0;417,22
Network Aviation;11,80;15;0;150,00
Nok Air;6,27;33;0;665,33
Nordic Regional Airlines;7,60;12;0;554,00
Norwegian Air;0,68;57;0;706,83
Norwegian Air International;3,60;46;5;3 403,00
Norwegian Long Haul;2,20;12;0;3 181,00
Norwegian UK;1,90;2;0;169,50
Olympic Air;3,75;14;0;105,00
Oman Air;1,69;47;2;576,00
OpenSkies;25,30;4;0;202,50
Pakistan International Airlines;4,58;37;2;423,25
PAL Express;6,47;18;0;388,00
Pegasus Airlines;2,13;75;5;1 489,25
Philippine Airlines;2,24;63;0;784,79
Philippines AirAsia;0,00;15;0;1 470,00
Piedmont Airlines;21,90;44;0;630,00
Pobeda;2,10;12;0;888,00
PSA Airlines;6,63;115;35;1 166,25
Qantas Airways;6,90;123;1;2 603,13
Qantas Freight;0,00;13;0;298,40
QantasLink;12,10;79;1;604,25
Qatar Airways;4,23;166;23;2 572,60
Qatar Airways Cargo;1,90;19;0;1 720,00
Qatar Executive;0,00;11;0;89,17
Republic Airlines;2,00;118;0;1 522,33
Rossiya Airlines;5,14;61;8;575,43
Royal Air Maroc;7,62;52;0;601,11
Royal Air Maroc Express;2,25;5;0;62,00
Royal Jordanian;6,15;27;2;300,42
Royal Wings;10,50;1;0;49,00
RyanAir;3,30;366;10;13 538,50
S7 Airlines;7,19;65;0;754,13
Saudi Arabian Airlines;3,51;177;17;1 921,11
Scandinavian Airlines;3,51;157;4;620,09
Shandong Airlines (51%);3,60;100;1;1 466,40
Shanghai Airlines;3,96;87;0;1 158,57
Shenzhen Airlines;5,58;171;1;3 656,50
SilkAir;3,36;31;0;521,00
Singapore Airlines;1,93;107;8;2 738,42
Singapore Airlines Cargo;7,20;9;0;1 421,00
Skymark Airlines;1,90;26;0;641,00
Skywest;3,67;209;4;1 427,83
Skywest Airlines;14,50;166;0;5 287,00
South African Airways;5,53;54;2;904,78
Southwest Airlines;11,70;718;38;53 118,00
SpiceJet;3,03;46;0;658,50
Spirit Airlines;3,14;94;4;1 847,60
Spring Airlines;3,70;65;4;6 370,00
SunExpress;2,83;51;0;1 257,67
SunExpress Deutschland;6,80;22;0;1 312,00
Sunstate Airlines;7,50;31;0;970,00
Swiss Global Airlines;0,00;20;0;625,75
Swiss International Airlines;7,58;79;3;947,58
TAP Express;3,20;17;0;296,50
TAP Portugal;8,23;63;0;879,10
Thai AirAsia;2,50;50;2;2 450,00
Thai AirAsia X;7,80;6;0;1 440,00
Thai Airways;3,88;75;1;1 271,94
Thai Lion Air;0,80;24;0;888,00
Thai Smile;3,00;20;0;1 960,00
Thomas Cook Airlines;11,38;33;4;959,80
Thomas Cook Airlines Belgium;4,90;5;0;163,33
Thomas Cook Airlines Scandinavia;7,20;12;0;626,33
Thomson Airways;7,15;60;1;1 111,33
Tianjin Airlines;5,36;91;7;1 016,80
Tigerair Australia;9,85;17;1;797,00
Tigerair Taiwan (80%);2,30;9;1;882,00
Trans States Airlines;3,04;55;0;215,60
Transavia;1,80;37;2;547,40
Transavia France;2,75;26;0;961,50
TUI Airlines Belgium;7,60;25;0;517,75
TUI Airlines Netherlands;8,97;9;0;450,67
TUIfly;13,40;31;0;1 203,00
TUIfly Nordic;8,33;7;0;210,33
Tunisair;4,53;30;0;274,73
Tunisair Express;12,20;4;0;56,00
Turkish Airlines;4,04;295;11;3 049,50
Uni Air;0,95;15;0;86,17
United Airlines;9,58;730;38;6 925,92
UPS;14,70;236;0;5 157,50
Urumqi Airlines (70%);5,60;9;0;666,00
Utair;4,86;65;0;546,25
UTair-Cargo;0,00;17;0;64,00
Vanilla Air;2,00;10;2;980,00
Vietnam Air Service Company;11,00;4;0;88,00
Vietnam Airlines;2,52;83;3;1 145,25
Virgin America;5,17;63;0;2 030,00
Virgin Atlantic Airways;4,86;39;4;1 442,29
Virgin Australia;5,00;113;0;1 562,00
Virgin Australia Regional;10,85;16;0;119,00
Virgin Samoa;5,10;1;0;74,00
Volaris;4,53;68;4;2 230,00
Vostok Aviation Company;0,00;23;0;5,00
Vueling;5,93;108;2;3 570,33
WestJet;10,93;118;1;3 060,67
WestJet Encore;2,00;33;0;1 033,00
WiderÃ¸e;6,23;41;0;427,67
Wings Air;1,20;51;3;375,67
Wizz Air;2,85;74;4;3 719,00
