Airline ;Aircraft with seatmap ;Seat Pitch ;Seat Width ;Video Type ;Laptop Power ;Power Type ;Wi-Fi ;Seat Type 
Iberia;Airbus A340-600 (346) V1;31;18.1;Seatback TV;All Seats;AC Power;Yes;Standard
Iberia;Airbus A340-600 (346) V2;31;18;Seatback TV;All Seats;AC Power;Yes;Standard
Iberia;Airbus A350-900 (359);37;19;On-Demand TV;All Seats;AC Power;Yes;Recliner
Iberia;Airbus A350-900 (359);31;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Iberia;Airbus A319 (319) Business Club;30;17;None;None;None;No;Standard
Iberia;Airbus A330-300 (333) V1;31;18.1;Seatback TV;All Seats;AC Power;Yes;Standard
Icelandair;Boeing 737 MAX 8 (7M8);32;17;On-Demand TV;None;None;Yes;Standard
Icelandair;Boeing 757-200 (752) V1;33;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Icelandair;Boeing 757-200 (752) V2;33;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Icelandair;Boeing 757-300 (753);32;17.2;On-Demand TV;None;None;Yes;Standard
Icelandair;Boeing 767-300ER (76W);32;17;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 737-800 (738) Intl;34;18.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 767-300 (763) Intl;34;18.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 767-300ER (76W) V1;34;18.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 767-300ER (76W) V2;34;18.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 767-300ER (76W) V4;34;19;Seatback TV;All Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 777-200 (772);31;17.3;Overhead TV;None;None;Yes;Standard
Japan Airlines;Boeing 777-200ER (772) V1;31;17.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 777-200ER (772) V2;31;17.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 777-200ER (772) V3;31;17.5;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 777-200ER (772) V4;33;18.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 777-300 (773);31;17.3;On-Demand TV;None;None;Yes;Standard
Japan Airlines;Boeing 777-300ER (773);34;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 787-8 (788) V1;31;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 787-8 (788) V2;33;18.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 787-8 (788) V3;33;18;On-Demand TV;Some Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 787-9 (789) V1;33;18.9;On-Demand TV;All Seats;AC Power;Yes;Standard
Japan Airlines;Boeing 787-9 (789) V2;32-33;18;Seatback TV;All Seats;AC Power;Yes;Standard
Jet Airways;Airbus A330-200 (332) V1;32;18;Seatback TV;None;None;No;Standard
Jet Airways;Airbus A330-200 (332) V2;32;18;Seatback TV;None;None;No;Standard
Jet Airways;Boeing 777-300ER (77W);32;17;On-Demand TV;All Seats;AC Power;No;Standard
Jet Airways;Airbus A330-300 (333);32;18;Seatback TV;None;None;No;Standard
Jet2;Airbus A321 (321) V2;28-30;17.6;Overhead TV;None;None;No;Standard
Jet2;Airbus A330-200;31;18.2;None;None;None;No;Standard
Jet2;Airbus A321 (321) V1;28-30;17.6;Overhead TV;None;None;No;Standard
Jet2;Boeing 757-200 (752);30-31;16.2 - 17.2;None;None;None;No;Standard
Jetstar;Boeing 787-8 (788);30;17;Seatback TV;Some Seats;AC Power;No;Standard
Kenya Airways;Boeing 787-8 (788);32.2;18.5;On-Demand TV;All Seats;AC Power;No;Standard
KLM;Airbus A330-200 (332) V2;31;17.5;On-Demand TV;None;None;No;Standard
KLM;Airbus A330-300 (333);35;17.5;On-Demand TV;All Seats;AC Power;No;Standard
KLM;Airbus A330-300 (333);31;17.5;On-Demand TV;All Seats;AC Power;No;Standard
KLM;Boeing 747-400 (744) Combi New Business;35;17.5;On-Demand TV;None;None;No;Standard
KLM;Boeing 747-400 (744) Combi New Business;31;17.5;On-Demand TV;None;None;No;Standard
KLM;Boeing 747-400 (744) New Business;35;17.5;Seatback TV;None;None;No;Standard
KLM;Boeing 747-400 (744) New Business;31;17.5;Seatback TV;None;None;No;Standard
KLM;Airbus A330-200 (332) V2;35;17.5;On-Demand TV;None;None;No;Standard
KLM;Boeing 777-200ER (772);31;17.5;On-Demand TV;None;None;No;Standard
KLM;Boeing 777-300ER (77W);34;17.5;On-Demand TV;None;AC Power;No;Standard
KLM;Boeing 777-300ER (77W);31;17.5;On-Demand TV;None;AC Power;No;Standard
KLM;Boeing 787-9 (789);35;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
KLM;Boeing 787-9 (789);31;17.5;On-Demand TV;All Seats;AC Power;Yes;Standard
KLM;Airbus A330-200 (332) V1;35;17.5;On-Demand TV;None;None;No;Standard
KLM;Airbus A330-200 (332) V1;31;17.5;On-Demand TV;None;None;No;Standard
KLM;Boeing 777-200ER (772);35;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Korean Air;Airbus A330-300 (333) V2;33-34;18.1;On-Demand TV;All Seats;AC Power;No;Standard
Korean Air;Airbus A380-800 (388) V1;33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Airbus A380-800 (388) V2;32-33;18;On-Demand TV;All Seats;AC Power;No;Standard
Korean Air;Boeing 747-400 (744) V1;33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 747-400 (744) V2;33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 747-400 (744) V3;32-34;18;On-Demand TV;All Seats;AC Power;No;Standard
Korean Air;Boeing 747-400 (744) V4;32-34;18;On-Demand TV;All Seats;AC Power;No;Standard
Korean Air;Airbus A330-200 (332);32-33;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 747-8 (74H);33-34;18.1;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 777-200ER (772) V1;33-34;18;On-Demand TV;All Seats;AC Power;No;Standard
Korean Air;Boeing 777-200ER (772) V2;33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 777-300 (773);33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 777-300ER (77W) V1;33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 777-300ER (77W) V2;33-34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 787-9 (789);33-34;18;On-Demand TV;None;None;No;Standard
Korean Air;Airbus A330-300 (333) V1;32-33;18;On-Demand TV;Some Seats;AC Power;No;Standard
Korean Air;Boeing 747-400 (744) V5;32-34;18;On-Demand TV;All Seats;AC Power;No;Standard
LATAM Brasil;Airbus A350-900 (359);31;18;On-Demand TV;None;AC Power;No;Standard
LATAM Brasil;Boeing 767-300ER (763) V1;34;18;Overhead TV;None;None;No;Standard
LATAM Brasil;Boeing 767-300ER (763) V2;32;18;On-Demand TV;All Seats;AC Power;No;Standard
LATAM Brasil;Boeing 777-300 (777);32;17;On-Demand TV;Some Seats;AC Power;No;Standard
LATAM Brasil;Airbus A350-900 (359);36;18;On-Demand TV;None;AC Power;No;Standard
LATAM Brasil;Boeing 767-300ER (763) V1;32;18;Overhead TV;None;None;No;Standard
LATAM Chile;Boeing 787-8 (788);32;17.3;On-Demand TV;All Seats;AC Power;No;Standard
LATAM Chile;Boeing 767-300ER (763) V2;32;18;On-Demand TV;All Seats;AC Power;No;Standard
LATAM Chile;Boeing 787-9 (789);34;17.3;On-Demand TV;All Seats;AC Power;No;Standard
LATAM Chile;Boeing 767-300ER (763) V1;32;18;On-Demand TV;All Seats;AC Power;No;Standard
LATAM Chile;Boeing 787-9 (789);32;17.3;On-Demand TV;All Seats;AC Power;No;Standard
Lion Airlines;Airbus A330-300 (333);29-32;18;None;None;None;No;Standard
LOT Polish Airlines;Boeing 737-400 (734);32;18;Overhead TV;All Seats;AC Power;No;Standard
LOT Polish Airlines;Boeing 737-800 (738);30;17;None;None;None;No;Standard
LOT Polish Airlines;Boeing 787-8 (788);32;16.9;On-Demand TV;All Seats;AC Power;No;Standard
LOT Polish Airlines;Boeing 787-9 (789);32;16.9;On-Demand TV;All Seats;AC Power;No;Standard
Lufthansa;Airbus A330-300 (333) V2;31;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A330-300 (333) V3;31;17;On-Demand TV;None;None;Yes;Standard
Lufthansa;Airbus A340-300 (343) V1;31-32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A340-300 (343) V2;31-32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A340-300 (343) V3;32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A340-600 (346) V1;31;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A340-600 (346) V2;31;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A350-900 (359) V1;31;17;On-Demand TV;None;None;Yes;Standard
Lufthansa;Airbus A350-900 (359) V2;31;17;On-Demand TV;None;None;Yes;Standard
Lufthansa;Airbus A380-800 (388);31;18.2;On-Demand TV;None;None;Yes;Standard
Lufthansa;Boeing 747-400 (744) V1;31;17.1;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Boeing 747-400 (744) V2;31;17.1;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Airbus A330-300 (333) V1;31;17;On-Demand TV;All Seats;AC Power;Yes;Standard
Lufthansa;Boeing 747-8 (748);31;17.1;Seatback TV;All Seats;AC Power;Yes;Standard
Malaysia Airlines;Airbus A330-300 (333) V1;32;17.5;On-Demand TV;All Seats;AC Power;No;Standard
Malaysia Airlines;Airbus A350-900 (359);31-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Malaysia Airlines;Airbus A380-800 (388);32;18;On-Demand TV;All Seats;AC Power;No;Standard
Malaysia Airlines;Airbus A330-300 (333) V2;32;17.3;On-Demand TV;All Seats;AC Power;No;Standard
Middle East Airlines;Airbus A330-200 (332);32;18;On-Demand TV;None;None;No;Standard
Nordwind Airlines;Airbus A330-200 (332);29;18;Seatback TV;None;None;No;Standard
Nordwind Airlines;Boeing 767-300ER (763);29;17;Overhead TV;None;None;No;Standard
Nordwind Airlines;Boeing 777-200ER (772);29;17;None;None;None;No;Standard
Norwegian Air Shuttle;Boeing 787-9 (789);31-32;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Norwegian Air Shuttle;Boeing 737 MAX 8 (7M8);29-38;17.2;None;None;None;Yes;Standard
Norwegian Air Shuttle;Boeing 787-8 (788);31-32;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Oman Air;Boeing 787-8 (788) V1;31;17.3-18.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Oman Air;Boeing 787-8 (788) V2;31;17.3;Satellite TV;All Seats;AC Power;Yes;Standard
Oman Air;Boeing 787-9 (789);31;17.3;Satellite TV;Some Seats;AC Power;Yes;Standard
Oman Air;Airbus A330-300 (333);34;18;On-Demand TV;Some Seats;AC Power;Yes;Standard
Oman Air;Boeing 737-900ER (739);31;18;Seatback TV;None;None;No;Standard
Oman Air;Airbus A330-200 (332);34;18;On-Demand TV;Some Seats;AC Power;Yes;Standard
OpenSkies;Boeing 757-200 (752) V2;31;17.5;Portable Device;All Seats;AC Power;No;Standard
OpenSkies;Boeing 767-300 (763);31;17.5;On-Demand TV;None;None;No;Standard
OpenSkies;Boeing 757-200 (752) V1;31;17.5;Portable Device;All Seats;AC Power;No;Standard
Pakistan International Airlines;Boeing 777-200ER (772) V1;31;17;Seatback TV;None;None;No;Standard
Pakistan International Airlines;Boeing 777-300ER (77W);31;17;Seatback TV;None;None;No;Standard
Pakistan International Airlines;Boeing 777-200ER (772) V2;31;17;Seatback TV;None;None;No;Standard
Pakistan International Airlines;Boeing 777-200LR (77L);30;17;Seatback TV;None;None;No;Standard
Philippine Airlines;Airbus A330-300 (333) Two Class;31;18;Overhead TV;None;None;No;Standard
Philippine Airlines;Airbus A330-300 (333) V3;32;17;Seatback TV;None;None;Yes;Standard
Philippine Airlines;Airbus A340-300 (343) V1;33;17;Overhead TV;None;None;No;Standard
Philippine Airlines;Airbus A340-300 (343) V2;33;17;Overhead TV;None;None;No;Standard
Philippine Airlines;Airbus A340-300 (343) V3;33;17;Overhead TV;None;None;No;Standard
Philippine Airlines;Airbus A350-900 (359);30-31;17;On-Demand TV;None;None;No;Standard
Philippine Airlines;Boeing 777-300ER (777);33;18.5;On-Demand TV;None;None;No;Standard
Philippine Airlines;Airbus A330-300 (333) Three Class;30-31;18;None;None;None;Yes;Standard
Primera Air;Boeing 737-700 (73G);29-32;17;None;None;None;No;Standard
Primera Air;Boeing 737-800 (738);29-32;17;None;None;None;No;Standard
Primera Air;Airbus A321neo (321);30-36;18;None;None;None;No;Standard
Qantas;Airbus A330-200 (332) Domestic/Intl V1;31;17.5;On-Demand TV;None;None;No;Standard
Qantas;Airbus A330-200 (332) Intl V2;31;17.2;On-Demand TV;None;None;No;Standard
Qantas;Airbus A380-800 (388);31;17.5;On-Demand TV;Some Seats;AC Power;No;Standard
Qantas;Boeing 747-438 (744) Four Class;31;17.5;On-Demand TV;None;None;No;Standard
Qantas;Boeing 787-9 (789);32;17.2;On-Demand TV;Some Seats;AC Power;No;Standard
Qantas;Airbus A330-300 (333);31;17;On-Demand TV;All Seats;AC Power;No;Standard
Qatar Airways;Boeing 777-300ER (77W) V2;33;17;On-Demand TV;All Seats;AC Power;No;Standard
Qatar Airways;Airbus A330-200 (332) V2;32;17.5;On-Demand TV;None;None;No;Standard
Qatar Airways;Airbus A330-200 (332) V4;32;18;On-Demand TV;None;None;No;Standard
Qatar Airways;Airbus A330-300 (333) V1;33;17.5;On-Demand TV;None;None;No;Standard
Qatar Airways;Airbus A330-300 (333) V2;32;17.5;On-Demand TV;None;None;No;Standard
Qatar Airways;Airbus A340-600 (346);32;17.5;On-Demand TV;None;None;No;Standard
Qatar Airways;Airbus A350 (350);31-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Qatar Airways;Airbus A350-1000 (351) Qsuite;31-32;16.9-17.4;On-Demand TV;All Seats;AC Power;Yes;Standard
Qatar Airways;Airbus A380 (380);32;18.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Qatar Airways;Airbus A330-200 (332) V1;32;17.5;On-Demand TV;None;None;No;Standard
Qatar Airways;Boeing 777-300ER (77W) Qsuite;31-32;18.5;On-Demand TV;All Seats;AC Power;Yes;Standard
Qatar Airways;Boeing 777-300ER (77W) V1;31-33;17;On-Demand TV;All Seats;AC Power;No;Standard
Qatar Airways;Airbus A330-200 (332) V3;32;17.5;On-Demand TV;None;None;No;Standard
Qatar Airways;Boeing 777-300ER (77W) V3;31-33;18.5;On-Demand TV;All Seats;AC Power;No;Standard
Qatar Airways;Boeing 787-8 (788);31;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Qatar Airways;Boeing 777-200LR (77L);33;18.9;On-Demand TV;All Seats;AC Power;No;Standard
Royal Air Maroc;Boeing 767-300ER (76W) V1;30-32;17;On-Demand TV;None;None;No;Standard
Royal Air Maroc;Boeing 767-300ER (76W) V2;30-32;17;On-Demand TV;None;None;No;Standard
Royal Air Maroc;Boeing 767-300ER (76W) V3;30-32;17;On-Demand TV;None;None;No;Standard
Royal Air Maroc;Boeing 787-8 (788);30-32;17;On-Demand TV;None;None;No;Standard
Royal Brunei;Boeing 787-8 (788);32;17.2;Seatback TV;All Seats;AC Power;No;Standard
Royal Jordanian;Airbus A330-200 (332);31-32;17;On-Demand TV;None;None;No;Standard
Royal Jordanian;Boeing 787-8 (788);32;17;On-Demand TV;None;None;No;Standard
SAS;Airbus A330-300 (333);31-32;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
SAS;Airbus A340-300 (343);31-32;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
Saudia;Airbus A330-300 (333) V2;32;16.9-17.3;On-Demand TV;None;None;Yes;Standard
Saudia;Boeing 777-200 (772) Three Class;32;16.5-18;On-Demand TV;None;None;No;Standard
Saudia;Boeing 777-200 (772) Two Class;32;16.5-18;On-Demand TV;None;None;No;Standard
Saudia;Boeing 777-300 (773) Three Class V1;32;18.5;On-Demand TV;All Seats;AC Power;No;Standard
Saudia;Boeing 777-300 (773) Three Class V2;32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Saudia;Boeing 777-300 (773) Two Class;32;16.8;On-Demand TV;All Seats;AC Power;No;Standard
Saudia;Boeing 787-9 (789);32-33;17.8-18.3;On-Demand TV;None;None;Yes;Standard
Scoot Airlines;Boeing 787-800 (788);34-36;18.9-19.7;None;All Seats;AC Power;Yes;Standard
Scoot Airlines;Boeing 787-800 (788);31;18.9-19.7;None;All Seats;AC Power;Yes;Standard
Scoot Airlines;Boeing 787-900 (789);31;18.9-19.7;None;All Seats;AC Power;Yes;Standard
Scoot Airlines;Boeing 787-900 (789);34-36;18.9-19.7;None;All Seats;AC Power;Yes;Standard
Shanghai Airlines;Boeing 767-300 (763);31;17;Overhead TV;None;None;No;Standard
Shanghai Airlines;Airbus A330-300 (333);32-33;17.8;Seatback TV;None;None;Yes;Standard
Singapore Airlines;Airbus A380-800 (388) Four Class V1;32;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Singapore Airlines;Airbus A380-800 (388) Four Class V2;32;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Singapore Airlines;Airbus A380-800 (388) Four Class V2;32;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Singapore Airlines;Boeing 777-200 (772) V1;32;17.5;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-200 (772) V2;34;17.5;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-200 (772) V3;32-33;17.5;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-200ER (772) V1;32;19;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-200ER (772) V2;34;17.5;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-200ER (772) V3;32;17.5;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-300 (773);32;19;On-Demand TV;None;None;No;Standard
Singapore Airlines;Boeing 777-300ER (77W) Four Class;32;19;On-Demand TV;All Seats;AC Power;Yes;Standard
Singapore Airlines;Airbus A350-900 (359);32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Singapore Airlines;Boeing 787-10 (78J);32;19.0;On-Demand TV;Some Seats;AC Power;Yes;Standard
Singapore Airlines;Airbus A330-300 (333);32;19.0;On-Demand TV;All Seats;AC Power;No;Standard
Singapore Airlines;Boeing 777-300ER (77W) Three Class;32;19;On-Demand TV;All Seats;AC Power;No;Standard
Skylanes;Boeing 777-300ER (777);32;17.2;On-Demand TV;All Seats;AC Power;Yes;Standard
Skylanes;Boeing 737 MAX 8 (7M8);30;17.2;Overhead TV;All Seats;AC Power;Yes;Standard
South African Airways;Airbus A330-200 (332);31-32;17.5;On-Demand TV;None;None;No;Standard
South African Airways;Airbus A330-300 (333);30-32;17.5;On-Demand TV;All Seats;AC Power;No;Standard
South African Airways;Airbus A340-200 (342);32;17;Overhead TV;None;None;No;Standard
South African Airways;Airbus A340-300 (343) V1;33.5;17;On-Demand TV;None;None;No;Standard
South African Airways;Airbus A340-300 (343) V2;31-33;17;On-Demand TV;None;None;No;Standard
South African Airways;Airbus A340-600 (346);33.5;17;On-Demand TV;None;None;No;Standard
Southwest;Boeing 737-800 (738);32-33;17;None;None;None;Yes;Standard
SriLankan Airlines;Airbus A330-200 (332) V2;31-32;17;Seatback TV;None;None;No;Standard
SriLankan Airlines;Airbus A330-200 (332) V2;34-35;17;Seatback TV;None;None;No;Standard
SriLankan Airlines;Airbus A330-200 (332) V3;31-32;17;Seatback TV;None;None;No;Standard
SriLankan Airlines;Airbus A330-200 (332) V4;31-32;17;On-Demand TV;None;None;No;Standard
SriLankan Airlines;Airbus A330-200 (332) V5;31-32;17;On-Demand TV;None;None;No;Standard
SriLankan Airlines;Airbus A330-200 (332) V1;31-32;17;On-Demand TV;None;None;No;Standard
SriLankan Airlines;Airbus A340-300 (343) V1;34-35;17;Seatback TV;None;None;No;Standard
SriLankan Airlines;Airbus A340-300 (343) V2;31-32;17;On-Demand TV;None;None;No;Standard
SriLankan Airlines;Airbus A340-300 (343) V3;32;17;Seatback TV;None;None;No;Standard
SriLankan Airlines;Airbus A340-300 (343) V1;31-32;17;Seatback TV;None;None;No;Standard
SWISS;Airbus A330-300 (333);32;17.3;On-Demand TV;None;None;Yes;Standard
SWISS;Boeing 777-300ER (77W);32;17.3;On-Demand TV;None;None;Yes;Standard
SWISS;Airbus A340-300 (343);32;17.3;On-Demand TV;None;None;No;Standard
TACA;Airbus A330-200 (332);32-34;17-19;On-Demand TV;All Seats;AC Power;No;Standard
TAP Portugal;Airbus A330-200 (332) V1;32-33;18;On-Demand TV;None;None;Yes;Standard
TAP Portugal;Airbus A330-200 (332) V3;32-33;18;On-Demand TV;None;None;Yes;Standard
TAP Portugal;Airbus A330-200 (332) V4;32-33;18;On-Demand TV;None;None;Yes;Standard
TAP Portugal;Airbus A330-200 (332) V5;60;20;On-Demand TV;All Seats;AC Power;Yes;Flat Bed
TAP Portugal;Airbus A330-200 (332) V5;32-33;18;On-Demand TV;None;None;Yes;Standard
TAP Portugal;Airbus A340-300 (343);32-34;17.6;Seatback TV;None;None;No;Standard
TAP Portugal;Airbus A330-200 (332) V2;32-33;18;On-Demand TV;None;None;No;Standard
THAI;Airbus A350-900 (359);32;18;On-Demand TV;None;AC Power;Yes;Standard
THAI;Airbus A380-800 (388);31-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
THAI;Boeing 747-400 (744) V2;32-34;17;Overhead TV;None;None;No;Standard
THAI;Boeing 777-200 (772);31-32;18;Seatback TV;Some Seats;AC Power;No;Standard
THAI;Airbus A330-300 (330) V1;32;18;On-Demand TV;All Seats;AC Power;No;Standard
THAI;Boeing 777-300 (773);31-32;18;Seatback TV;All Seats;AC Power;No;Standard
THAI;Boeing 777-300ER (77W);32;18;Seatback TV;Some Seats;AC Power;No;Standard
THAI;Boeing 787-8 (788);32;18;On-Demand TV;All Seats;AC Power;No;Standard
THAI;Boeing 787-9 (789);32;17;On-Demand TV;All Seats;AC Power;Yes;Standard
THAI;Boeing 777-200ER (772);34;18;On-Demand TV;Some Seats;AC Power;No;Standard
Thomas Cook Airlines;Airbus A330-200 (332) V1;31;18.2;Seatback TV;None;None;No;Standard
Thomas Cook Airlines;Airbus A330-200 (332) V2;31;18.2;Seatback TV;None;None;No;Standard
Thomas Cook Airlines;Boeing 767-300 (763);29-30;17;Overhead TV;None;None;No;Standard
Thomson;Boeing 767-300ER (763) V2;33;18.0;Seatback TV;None;None;No;Standard
Thomson;Boeing 787-8 (788);33;17;On-Demand TV;None;None;No;Standard
Thomson;Boeing 787-9 (789);33;17;On-Demand TV;None;None;No;Standard
Tunis Air;Airbus A330-200 (332);31-32;18;Seatback TV;None;None;No;Standard
Turkish Airlines;Airbus A330-200 (332) V1;31-33;17-18;On-Demand TV;None;None;No;Standard
Turkish Airlines;Airbus A330-200 (332) V3;32-33;17.5;On-Demand TV;None;None;Yes;Standard
Turkish Airlines;Airbus A330-300 (333);31-33;17-18;On-Demand TV;All Seats;AC Power;Yes;Standard
Turkish Airlines;Airbus A340-300 (343);33-34;17.0-17.7;On-Demand TV;None;None;No;Standard
Turkish Airlines;Boeing 777-300ER (77W);31-32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Turkish Airlines;Airbus A330-200 (332) V2;31-33;17-18;On-Demand TV;None;None;No;Standard
Ukraine International;Boeing 737-900ER (73J) V1;31-32;17;None;None;None;No;Standard
Ukraine International;Boeing 737-900ER (73J) V2;31-32;17;None;None;None;No;Standard
Ukraine International;Boeing 767-300ER (763);32;17;Overhead TV;None;None;No;Standard
Ukraine International;Boeing 777-200ER (77X);31;17;On-Demand TV;None;None;Yes;Standard
United;Boeing 757-200 (752) V1 Intl;31;17.3;On-Demand TV;Some Seats;AC Power;Yes;Standard
United;Boeing 757-200 (752) V1 Intl;37;17.3;On-Demand TV;Some Seats;AC Power;Yes;Standard
United;Boeing 757-200 (752) V2 PS;31;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 757-200 (752) V2 PS;36;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 767-300 (763) V3;31;18.2;On-Demand TV;Some Seats;AC Power;Yes;Standard
United;Boeing 767-300ER (76L) Three Class;34;18;Seatback TV;None;None;Yes;Standard
United;Boeing 767-300ER (76L) Three Class;31;18;Seatback TV;None;None;Yes;Standard
United;Boeing 767-300ER (76L) Two Class;35;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 767-300ER (76L) Two Class;31;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 767-400ER (764) Intl;31;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 767-400ER (764) Intl;35;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V1 Three Class Intl;34;18;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V1 Three Class Intl;31;18;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V2 Three Class Intl;34;18;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V2 Three Class Intl;31;18;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V3 Two Class Intl;35;18.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V3 Two Class Intl;31;18.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V4;35;17.1;None;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V4;31;17.1;None;All Seats;AC Power;Yes;Standard
United;Boeing 777-200 (772) V5;31;17.25;Seatback TV;All Seats;AC Power;Yes;Standard
United;Boeing 777-300ER (77W);31;17;Portable Device;All Seats;AC Power;Yes;Standard
United;Boeing 787-8 (788);35;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 787-8 (788);32;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 787-9 (789);35;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
United;Boeing 787-9 (789);32;17.3;On-Demand TV;All Seats;AC Power;Yes;Standard
UTair Aviation;Boeing 767-200ER (762);31;17;None;None;None;No;Standard
Vanilla Air;Airbus A320 (320) V1;29.5;17.3;None;None;None;No;Standard
Vietnam Airlines;Airbus A350-900 (350) V1;32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Vietnam Airlines;Boeing 787-9 (789) V2;32;17-18;On-Demand TV;All Seats;AC Power;Yes;Standard
Vietnam Airlines;Boeing 777-200ER (772) V1;32;18;On-Demand TV;All Seats;AC Power;No;Standard
Vietnam Airlines;Boeing 787-9 (789) V1;32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Vietnam Airlines;Airbus A330-200 (332);32;18;On-Demand TV;All Seats;DC Power;No;Standard
Vietnam Airlines;Airbus A350-900 (350) V2;32;18;On-Demand TV;All Seats;AC Power;Yes;Standard
Virgin Atlantic;Airbus A330-300 (333) V2;29-30;18;On-Demand TV;None;None;Yes;Standard
